open,final,step
(1-1),(1-6), 7
(2-1),(1-6), 6
(4-1),(1-6), 10
(4-1),(6-1), 2
(5-1),(6-1), 1
(5-1),(1-6), 9
(2-2),(1-6), 5
(3-2),(1-6), 6
(5-2),(6-1), 2
(5-2),(1-6), 8
(6-2),(6-1), 1
(6-2),(1-6), 9
(2-3),(1-6), 4
(4-3),(6-1), 4
(4-3),(1-6), 6
(5-3),(6-1), 3
(5-3),(1-6), 7
(1-4),(1-6), 4
(2-4),(1-6), 3
(3-4),(1-6), 4
(4-4),(1-6), 5
(5-4),(6-1), 4
(5-4),(1-6), 6
(6-4),(6-1), 5
(6-4),(1-6), 7
(2-5),(1-6), 2
(4-5),(1-6), 4
(5-5),(1-6), 5
(6-5),(1-6), 6
(2-6),(1-6), 1
(3-6),(1-6), 2
(4-6),(1-6), 3
(6-6),(1-6), 7
